0,0,0,-0.0001
0.0004,0.035,3.1888,-0.0004
0.0012,0.0808,4.7897,-0.0014
0.0024,0.13,5.1632,-0.0031
0.0043,0.181,4.9612,-0.0056
0.0065,0.233,5.3594,-0.009
0.0094,0.2839,5.0133,-0.0132
0.0128,0.3361,5.2275,-0.0182
0.0166,0.3874,5.1831,-0.024
0.021,0.4386,5.1153,-0.0305
0.0258,0.4901,5.1814,-0.0378
0.0313,0.5414,5.1115,-0.0459
0.0372,0.593,5.1676,-0.0547
0.0436,0.6442,5.146,-0.0642
0.0506,0.6954,5.0983,-0.0743
0.0581,0.747,5.1452,-0.0851
0.0661,0.7983,5.1249,-0.0965
0.0745,0.8494,5.1518,-0.1085
0.0835,0.9001,5.062,-0.121
0.0931,0.9513,5.1135,-0.134
0.1031,1.0025,5.0945,-0.1476
0.1136,1.0535,5.1171,-0.1616
0.1247,1.1042,5.0673,-0.1761
0.1362,1.155,5.0998,-0.1909
0.1482,1.2056,5.0527,-0.206
0.1608,1.2563,5.0571,-0.2216
0.1739,1.3071,5.1023,-0.2374
0.1874,1.3573,5.0214,-0.2535
0.2015,1.4079,5.0607,-0.2698
0.2161,1.4583,5.0196,-0.2864
0.2312,1.5089,5.0704,-0.3032
0.2468,1.5591,5.0201,-0.3201
0.2629,1.6093,5.0236,-0.3371
0.2795,1.6595,5.0176,-0.3542
0.2966,1.7098,5.0331,-0.3715
0.3142,1.7597,4.9968,-0.3887
0.3323,1.8099,5.0007,-0.4061
0.3509,1.86,5.0157,-0.4234
0.37,1.91,5.0017,-0.4408
0.3895,1.9598,4.9967,-0.458
0.4096,2.0096,4.9732,-0.4753
0.4302,2.0596,4.9958,-0.4925
0.4513,2.1094,4.9836,-0.5096
0.4729,2.1592,4.9797,-0.5266
0.495,2.209,4.976,-0.5435
0.5177,2.2588,4.9725,-0.5603
0.5407,2.3086,4.986,-0.5769
0.5643,2.3581,4.959,-0.5933
0.5883,2.4078,4.9632,-0.6096
0.613,2.4575,4.9606,-0.6258
0.638,2.5072,4.9736,-0.6417
0.6636,2.5568,4.9646,-0.6575
0.6896,2.6062,4.9473,-0.673
0.7162,2.6558,4.9662,-0.6883
0.7432,2.7054,4.9438,-0.7035
0.7708,2.755,4.9621,-0.7183
0.7988,2.8045,4.9547,-0.733
0.8273,2.854,4.9531,-0.7474
0.8564,2.9035,4.9383,-0.7616
0.8859,2.9531,4.9688,-0.7755
0.916,3.0025,4.9312,-0.7892
0.9465,3.052,4.9657,-0.8026
0.9775,3.1014,4.9298,-0.8157
1.009,3.151,4.963,-0.8286
1.041,3.2003,4.9287,-0.8412
1.0735,3.2499,4.9607,-0.8535
1.1065,3.2993,4.9396,-0.8656
1.14,3.3488,4.9431,-0.8774
1.1739,3.3982,4.954,-0.8889
1.2085,3.4476,4.9271,-0.9001
1.2434,3.4971,4.9563,-0.9111
1.2788,3.5465,4.9485,-0.9218
1.3149,3.5959,4.9267,-0.9322
1.3513,3.6454,4.9543,-0.9423
1.3883,3.6948,4.937,-0.9521
1.4257,3.7443,4.9501,-0.9616
1.4637,3.7937,4.9368,-0.9709
1.5021,3.8431,4.9494,-0.9799
1.541,3.8925,4.9366,-0.9885
1.5804,3.9419,4.9487,-0.9969
1.6203,3.9913,4.9365,-1.005
1.6607,4.0408,4.9389,-1.0129
1.7016,4.0902,4.9479,-1.0204
1.743,4.1396,4.9454,-1.0277
1.7849,4.189,4.9365,-1.0346
1.8272,4.2384,4.9472,-1.0413
1.8701,4.2878,4.9365,-1.0477
1.9136,4.3373,4.9384,-1.0538
1.9574,4.3867,4.9549,-1.0596
2.0017,4.4361,4.9348,-1.0651
2.0466,4.4855,4.9381,-1.0703
2.0919,4.535,4.9459,-1.0752
2.1379,4.5844,4.9366,-1.0799
2.1842,4.6339,4.9455,-1.0842
2.231,4.6833,4.944,-1.0883
2.2783,4.7326,4.9364,-1.092
2.3261,4.7821,4.9447,-1.0955
2.3745,4.8315,4.9363,-1.0987
2.4233,4.8809,4.9441,-1.1016
2.4725,4.9302,4.943,-1.1041
2.5223,4.9796,4.9359,-1.1064
2.5726,5.029,4.9364,-1.1084
2.6234,5.0784,4.9427,-1.1101
2.6748,5.1278,4.9354,-1.1114
2.7265,5.1772,4.9419,-1.1125
2.7787,5.2266,4.9411,-1.1133
2.8315,5.2759,4.9346,-1.1137
2.8847,5.3253,4.9345,-1.1138
2.9385,5.3747,4.9399,-1.1136
2.9927,5.424,4.9335,-1.1131
3.0475,5.4734,4.9331,-1.1123
3.1027,5.5228,4.938,-1.1112
3.1584,5.5721,4.9375,-1.1097
3.2147,5.6214,4.9263,-1.1079
3.2713,5.6707,4.9354,-1.1057
3.3286,5.7201,4.9303,-1.1032
3.3862,5.7693,4.934,-1.1004
3.4444,5.8186,4.924,-1.0972
3.5031,5.8679,4.9314,-1.0936
3.5623,5.9172,4.9271,-1.0897
3.6219,5.9665,4.9253,-1.0854
3.6821,6.0157,4.9243,-1.0807
3.7427,6.0649,4.9273,-1.0757
3.8038,6.1141,4.9187,-1.0703
3.8655,6.1633,4.9194,-1.0645
3.9276,6.2126,4.9191,-1.0582
3.9903,6.2617,4.9176,-1.0516
4.0534,6.3109,4.916,-1.0445
4.1169,6.36,4.9143,-1.037
4.1811,6.4091,4.9091,-1.0291
4.2457,6.4582,4.909,-1.0207
4.3107,6.5073,4.9086,-1.0118
4.3763,6.5564,4.9033,-1.0025
4.4423,6.6054,4.9022,-0.9927
4.5088,6.6543,4.9016,-0.9824
4.5759,6.7033,4.8936,-0.9715
4.6435,6.7522,4.892,-0.9601
4.7114,6.8011,4.8932,-0.9482
4.78,6.85,4.8854,-0.9357
4.8489,6.8988,4.8819,-0.9227
4.9183,6.9476,4.881,-0.909
4.9884,6.9964,4.8728,-0.8947
5.0588,7.045,4.8698,-0.8798
5.1297,7.0937,4.8675,-0.8642
5.2012,7.1423,4.8588,-0.8478
5.273,7.1908,4.8567,-0.8308
5.3454,7.2342,4.3359,-0.8131
5.4175,7.2059,-2.8321,-0.7946
5.489,7.1547,-5.1246,-0.7756
5.56,7.1037,-5.0991,-0.7561
5.6306,7.0526,-5.1076,-0.7359
5.7006,7.0014,-5.1181,-0.7153
5.7701,6.9503,-5.1163,-0.694
5.8391,6.8992,-5.1092,-0.6722
5.9076,6.848,-5.1152,-0.6499
5.9755,6.7968,-5.1268,-0.6269
6.043,6.7456,-5.1155,-0.6033
6.1099,6.6944,-5.1223,-0.5791
6.1764,6.6431,-5.125,-0.5543
6.2423,6.5918,-5.1278,-0.5288
6.3076,6.5405,-5.141,-0.5027
6.3725,6.4893,-5.1185,-0.476
6.4369,6.4378,-5.1424,-0.4485
6.5008,6.3864,-5.1407,-0.4204
6.5642,6.335,-5.1334,-0.3915
6.627,6.2834,-5.1649,-0.3619
6.6893,6.2321,-5.1351,-0.3316
6.7511,6.1805,-5.1624,-0.3005
6.8124,6.1289,-5.1492,-0.2686
6.8732,6.0772,-5.1719,-0.2359
6.9335,6.0256,-5.1584,-0.2024
6.9932,5.9738,-5.1825,-0.168
7.0525,5.9221,-5.1687,-0.1327
7.1111,5.8702,-5.1941,-0.0965
7.1693,5.8184,-5.1801,-0.0594
7.2269,5.7665,-5.1937,-0.0213
7.2841,5.7145,-5.2004,0.0178
7.3408,5.6624,-5.2075,0.0579
7.3968,5.6101,-5.2291,0.0991
7.4524,5.5581,-5.2002,0.1414
7.5075,5.5056,-5.2399,0.1849
7.562,5.4532,-5.255,0.2296
7.616,5.4009,-5.2251,0.2755
7.6695,5.3482,-5.2687,0.3227
7.7224,5.2955,-5.2697,0.3712
7.7749,5.2428,-5.2647,0.4211
7.8267,5.1897,-5.3195,0.4724
7.8782,5.137,-5.2609,0.5253
7.929,5.0835,-5.3576,0.5797
7.9792,5.0305,-5.3037,0.6357
8.029,4.9771,-5.3413,0.6935
8.0783,4.9234,-5.3574,0.7531
8.127,4.8695,-5.3934,0.8146
8.1752,4.8157,-5.3801,0.878
8.2227,4.7614,-5.4324,0.9434
8.2698,4.7074,-5.3998,1.0109
8.3164,4.6527,-5.4703,1.0809
8.3623,4.5977,-5.5019,1.1531
8.4077,4.543,-5.4698,1.2278
8.4526,4.4875,-5.5505,1.3053
8.497,4.432,-5.5424,1.3855
8.5407,4.3759,-5.6152,1.4688
8.5839,4.3196,-5.6344,1.5551
8.6265,4.2631,-5.6481,1.6447
8.6686,4.206,-5.7083,1.7378
8.7101,4.1484,-5.7544,1.8348
8.751,4.0902,-5.8324,1.9357
8.7913,4.032,-5.8109,2.0409
8.831,3.9726,-5.9423,2.1506
8.8701,3.9128,-5.9877,2.2652
8.9087,3.8525,-6.03,2.3851
8.9466,3.7911,-6.135,2.5106
8.9839,3.7288,-6.2259,2.6423
9.0206,3.6655,-6.3273,2.7806
9.0566,3.6011,-6.4407,2.9259
9.0919,3.5358,-6.5299,3.0789
9.1266,3.4688,-6.7023,3.2405
9.1606,3.4001,-6.8649,3.4114
9.1939,3.3297,-7.05,3.5922
9.2265,3.2575,-7.2158,3.7842
9.2583,3.183,-7.4461,3.9886
9.2894,3.1049,-7.8147,4.2068
