0,0,0,-0.0001
0.0004,0.0336,3.0611,-0.0004
0.0011,0.0768,4.5157,-0.0014
0.0023,0.123,4.8524,-0.0031
0.004,0.1711,4.6736,-0.0056
0.0062,0.219,4.9465,-0.009
0.0089,0.2673,4.7596,-0.0132
0.012,0.3158,4.8529,-0.0182
0.0156,0.364,4.8648,-0.024
0.0198,0.4123,4.829,-0.0305
0.0243,0.4605,4.8525,-0.0378
0.0294,0.5091,4.8407,-0.0459
0.035,0.5576,4.8568,-0.0547
0.041,0.6061,4.8698,-0.0642
0.0476,0.6549,4.8561,-0.0743
0.0547,0.7036,4.8662,-0.0851
0.0622,0.7525,4.8813,-0.0965
0.0702,0.8011,4.8965,-0.1085
0.0787,0.85,4.8884,-0.121
0.0877,0.899,4.8826,-0.134
0.0972,0.9481,4.8992,-0.1476
0.1071,0.9972,4.9124,-0.1616
0.1176,1.0464,4.9193,-0.1761
0.1285,1.0954,4.9206,-0.1909
0.14,1.1447,4.9291,-0.206
0.152,1.1941,4.924,-0.2216
0.1643,1.2433,4.9409,-0.2374
0.1773,1.2928,4.9543,-0.2535
0.1907,1.3422,4.9442,-0.2698
0.2046,1.392,4.954,-0.2864
0.219,1.4415,4.9586,-0.3032
0.2339,1.4912,4.9772,-0.3201
0.2493,1.5409,4.9718,-0.3371
0.2653,1.5908,4.976,-0.3542
0.2816,1.6405,4.984,-0.3715
0.2986,1.6904,4.9926,-0.3887
0.316,1.7404,4.9875,-0.4061
0.3339,1.7904,4.995,-0.4234
0.3523,1.8404,5.0065,-0.4408
0.3711,1.8903,5.0094,-0.458
0.3906,1.9405,5.0086,-0.4753
0.4105,1.9906,5.0072,-0.4925
0.4309,2.0407,5.0177,-0.5096
0.4518,2.091,5.0201,-0.5266
0.4732,2.1412,5.0224,-0.5435
0.4952,2.1915,5.0245,-0.5603
0.5175,2.2417,5.03,-0.5769
0.5404,2.292,5.0351,-0.5933
0.5639,2.3423,5.03,-0.6096
0.5878,2.3928,5.0317,-0.6258
0.6123,2.4431,5.0369,-0.6417
0.6372,2.4935,5.0444,-0.6575
0.6626,2.5439,5.0418,-0.673
0.6885,2.5943,5.0407,-0.6883
0.715,2.6448,5.0438,-0.7035
0.742,2.6952,5.0429,-0.7183
0.7694,2.7457,5.0493,-0.733
0.7973,2.7961,5.0499,-0.7474
0.8259,2.8467,5.0466,-0.7616
0.8548,2.8971,5.0501,-0.7755
0.8843,2.9477,5.0525,-0.7892
0.9142,2.9981,5.0514,-0.8026
0.9448,3.0487,5.0529,-0.8157
0.9757,3.0992,5.0524,-0.8286
