0,0,0,-0.0001
0.0004,0.0336,3.0601,-0.0005
0.0011,0.0768,4.5136,-0.0014
0.0023,0.1231,4.8499,-0.0031
0.004,0.1702,4.7475,-0.0056
0.0062,0.2185,4.791,-0.0091
0.0088,0.2667,4.8616,-0.0133
0.012,0.315,4.8164,-0.0184
0.0157,0.3638,4.8169,-0.0243
0.0197,0.4119,4.8854,-0.031
0.0244,0.4606,4.8163,-0.0385
0.0294,0.5088,4.8655,-0.0467
0.035,0.5574,4.8543,-0.0556
0.041,0.6059,4.8553,-0.0652
0.0476,0.6547,4.8543,-0.0755
0.0546,0.7032,4.8778,-0.0865
0.0622,0.7521,4.8761,-0.0981
0.0701,0.8007,4.8824,-0.1102
0.0787,0.8497,4.887,-0.1229
0.0876,0.8984,4.8899,-0.1362
0.0971,0.9477,4.8986,-0.15
0.1071,0.9966,4.8991,-0.1643
0.1175,1.0456,4.9252,-0.1789
0.1285,1.0951,4.9154,-0.194
0.1399,1.144,4.9193,-0.2095
0.1518,1.1934,4.9433,-0.2252
0.1643,1.2428,4.9273,-0.2413
0.1772,1.2923,4.9383,-0.2578
0.1906,1.3416,4.9581,-0.2744
0.2045,1.3913,4.9625,-0.2912
0.2189,1.4408,4.952,-0.3083
0.2338,1.4905,4.9665,-0.3255
0.2493,1.5403,4.9709,-0.3429
0.2651,1.59,4.979,-0.3604
0.2815,1.6398,4.9881,-0.3779
0.2984,1.6898,4.9829,-0.3955
0.3158,1.7396,4.9904,-0.4132
0.3337,1.7897,4.999,-0.4309
0.3521,1.8397,4.9974,-0.4486
0.371,1.8897,5.009,-0.4662
0.3905,1.9399,5.0084,-0.4838
0.4103,1.9899,5.0101,-0.5013
0.4307,2.0402,5.0217,-0.5188
0.4516,2.0902,5.0154,-0.5361
0.473,2.1405,5.0262,-0.5534
0.4949,2.1906,5.0204,-0.5705
0.5174,2.2411,5.0301,-0.5875
0.5403,2.2914,5.0249,-0.6044
0.5636,2.3416,5.0404,-0.621
0.5876,2.392,5.0383,-0.6375
0.612,2.4424,5.0332,-0.6538
0.6369,2.4927,5.0383,-0.6699
0.6624,2.5432,5.0422,-0.6858
0.6883,2.5936,5.0409,-0.7015
0.7147,2.644,5.0479,-0.7169
0.7417,2.6945,5.0451,-0.7322
0.7691,2.745,5.044,-0.7472
0.7971,2.7955,5.0503,-0.762
0.8255,2.846,5.051,-0.7765
0.8545,2.8964,5.0515,-0.7907
0.884,2.947,5.0482,-0.8047
0.914,2.9975,5.0517,-0.8185
0.9444,3.048,5.0576,-0.832
0.9754,3.0985,5.0532,-0.8452
1.0069,3.1491,5.0495,-0.8581
1.0389,3.1997,5.0537,-0.8708
1.0714,3.2502,5.0624,-0.8832
1.1044,3.3008,5.054,-0.8953
1.1379,3.3512,5.0547,-0.9071
1.172,3.4019,5.054,-0.9187
1.2065,3.4525,5.0554,-0.93
1.2415,3.503,5.0627,-0.941
1.277,3.5536,5.0581,-0.9517
1.3131,3.6041,5.0547,-0.9621
1.3497,3.6548,5.0548,-0.9722
1.3867,3.7054,5.0594,-0.9821
1.4242,3.7559,5.0624,-0.9916
1.4623,3.8065,5.0529,-1.0009
1.5008,3.857,5.0616,-1.0099
1.54,3.9077,5.0552,-1.0185
1.5796,3.9583,5.0571,-1.0269
1.6196,4.0088,5.0621,-1.035
1.6602,4.0594,5.0571,-1.0429
1.7013,4.11,5.0597,-1.0504
1.7429,4.1606,5.0569,-1.0576
1.785,4.2111,5.0599,-1.0645
1.8277,4.2617,5.0568,-1.0712
1.8708,4.3123,5.06,-1.0775
1.9144,4.3629,5.0567,-1.0836
1.9586,4.4135,5.0603,-1.0894
2.0031,4.4641,5.062,-1.0949
2.0483,4.5146,5.0567,-1.1
2.094,4.5653,5.0553,-1.1049
2.1401,4.6158,5.0665,-1.1095
2.1868,4.6665,5.0526,-1.1138
2.2339,4.717,5.0659,-1.1178
2.2817,4.7677,5.0527,-1.1215
2.3298,4.8182,5.0667,-1.1249
2.3785,4.8688,5.0585,-1.128
2.4277,4.9194,5.057,-1.1308
2.4774,4.9701,5.0631,-1.1333
2.5276,5.0206,5.0642,-1.1355
2.5783,5.0712,5.0587,-1.1374
2.6295,5.1219,5.0586,-1.139
2.6813,5.1725,5.0651,-1.1402
2.7334,5.2231,5.066,-1.1412
2.7863,5.2738,5.0545,-1.1418
2.8394,5.3244,5.0728,-1.1421
2.8932,5.375,5.0618,-1.1422
2.9474,5.4257,5.0622,-1.1418
